Proximity,Seed,Sample_Size,Train_Error,Test_Error,RF_OOB,RF_Test
RF-GAP,420,5000,0.000571428571428556,0,0.184857142857143,0.189333333333333
OOB,420,5000,0.0377142857142857,0.038,0.184857142857143,0.189333333333333
Original,420,5000,0.0974285714285714,0.0326666666666666,0.184857142857143,0.189333333333333
RF-GAP,327,5000,0.000285714285714334,0,0.198285714285714,0.180666666666667
OOB,327,5000,0.04,0.0293333333333333,0.198285714285714,0.180666666666667
Original,327,5000,0.105428571428571,0.0246666666666666,0.198285714285714,0.180666666666667
RF-GAP,303,5000,0,0,0.186857142857143,0.176666666666667
OOB,303,5000,0.0457142857142857,0.034,0.186857142857143,0.176666666666667
Original,303,5000,0.106,0.0306666666666666,0.186857142857143,0.176666666666667
RF-GAP,117,5000,0.00171428571428567,0,0.186,0.192666666666667
OOB,117,5000,0.0474285714285714,0.048,0.186,0.192666666666667
Original,117,5000,0.0997142857142858,0.0353333333333333,0.186,0.192666666666667
RF-GAP,1012,5000,0.00114285714285711,0,0.191428571428571,0.177333333333333
OOB,1012,5000,0.0425714285714286,0.0346666666666666,0.191428571428571,0.177333333333333
Original,1012,5000,0.106285714285714,0.03,0.191428571428571,0.177333333333333
RF-GAP,840,5000,0.00142857142857145,0,0.178857142857143,0.167333333333333
OOB,840,5000,0.0371428571428571,0.0373333333333333,0.178857142857143,0.167333333333333
Original,840,5000,0.0988571428571429,0.0226666666666666,0.178857142857143,0.167333333333333
RF-GAP,654,5000,0.00171428571428567,0,0.188857142857143,0.188666666666667
OOB,654,5000,0.0454285714285714,0.032,0.188857142857143,0.188666666666667
Original,654,5000,0.0997142857142858,0.0273333333333333,0.188857142857143,0.188666666666667
RF-GAP,606,5000,0.00114285714285711,0,0.185428571428571,0.167333333333333
OOB,606,5000,0.0428571428571428,0.0366666666666666,0.185428571428571,0.167333333333333
Original,606,5000,0.0954285714285714,0.0293333333333333,0.185428571428571,0.167333333333333
RF-GAP,234,5000,0.00142857142857145,0,0.186,0.189333333333333
OOB,234,5000,0.042,0.0366666666666666,0.186,0.189333333333333
Original,234,5000,0.0968571428571429,0.0306666666666666,0.186,0.189333333333333
RF-GAP,2024,5000,0.00114285714285711,0,0.186571428571429,0.200666666666667
OOB,2024,5000,0.0451428571428572,0.0413333333333333,0.186571428571429,0.200666666666667
Original,2024,5000,0.102285714285714,0.0333333333333333,0.186571428571429,0.200666666666667
RF-GAP,1260,5000,0.00142857142857145,0,0.189714285714286,0.187333333333333
OOB,1260,5000,0.0451428571428572,0.0306666666666666,0.189714285714286,0.187333333333333
Original,1260,5000,0.102857142857143,0.026,0.189714285714286,0.187333333333333
RF-GAP,981,5000,0.00142857142857145,0,0.197714285714286,0.199333333333333
OOB,981,5000,0.0465714285714286,0.0366666666666666,0.197714285714286,0.199333333333333
Original,981,5000,0.107142857142857,0.0286666666666666,0.197714285714286,0.199333333333333
RF-GAP,909,5000,0.000571428571428556,0,0.184285714285714,0.176666666666667
OOB,909,5000,0.0454285714285714,0.042,0.184285714285714,0.176666666666667
